EB_EB_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-12 0.444715849294382 12.6291666666667 0.504972430790293 12.7 0.465831366097373 13.0625 0.570700314787751 13.1958333333333 0.589053670105835 12.8541666666667
2016-08-13 0.415315438602281 17.4791666666667 0.488593513856661 14.375 0.452986976918836 16.1645833333333 0.545868865692195 16.9104166666667 0.578183911318156 14.1458333333333
2016-08-14 0.385221217343738 19.3958333333333 0.471771872788452 16.1625 0.434554895698281 17.6625 0.514837698956503 18.46875 0.537719517290774 15.8083333333333
2016-08-15 0.366935757043583 17.7854166666667 0.461110375168488 16.375 0.419197791279264 17.2270833333333 0.498360785083885 17.69375 0.524013647676441 16.16875
2016-08-16 0.361379461150154 18.49375 0.457738488674032 16.425 0.410731101092448 17.3395833333333 0.495515239050439 17.9 0.517923106656164 16.2208333333333
2016-08-17 0.391907464149963 16.7708333333333 0.471037141763987 16.3541666666667 0.444539292850059 17.0479166666667 0.541932884251528 17.1770833333333 0.534214590707586 16.2791666666667
2016-08-18 0.451384796691069 16.2354166666667 0.502391649530216 15.8416666666667 0.476586176303248 16.4125 0.584021541589684 16.5375 0.589690962384621 15.84375
2016-08-19 0.425761961999889 17.0125 0.490753753966696 15.9770833333333 0.452621181039359 16.8875 0.553231656304681 17.1520833333333 0.58924948724256 15.9729166666667
2016-08-20 0.406826754964664 18.4604166666667 0.481224648478853 16.6083333333333 0.441805976545952 17.60625 0.537779117096502 18.0729166666667 0.565695672962285 16.4229166666667
2016-08-21 0.459751740878612 14.33125 0.506806255179832 15.575 0.482699567398774 15.2666666666667 0.584175020362475 15.33125 0.587725451118659 15.7958333333333
2016-08-22 0.423025435865077 14.6083333333333 0.491286523050125 14.71875 0.451700382287818 14.85625 0.553674418430523 15.2416666666667 0.587663925775727 14.9520833333333
2016-08-23 0.394438097611142 17.6041666666667 0.476053147738597 15.1520833333333 0.430452416273414 15.9208333333333 0.526641404539456 16.9354166666667 0.55523930682576 15.1
2016-08-24 0.373674585595004 20.1333333333333 0.465581042931091 16.5416666666667 0.413109700748814 17.6354166666667 0.50270696987418 18.6729166666667 0.535710336391615 16.1854166666667
2016-08-25 0.354358101704331 21.1395833333333 0.455140501047373 17.3270833333333 0.392704886448287 18.40625 0.479656190380607 19.4645833333333 0.522407537875412 16.8958333333333
2016-08-26 0.336601163529052 21.4645833333333 0.444149407767949 17.8208333333333 0.375445944978807 18.85625 0.458336489974292 19.8041666666667 0.509607257628276 17.3729166666667
2016-08-27 0.313302293450956 22.0229166666667 0.434567588390315 18.2604166666667 0.359083324235604 19.46875 0.440043563876973 20.2895833333333 0.495236832171733 17.8020833333333
2016-08-28 0.289952633636852 20.1041666666667 0.42482768598631 18.1979166666667 0.342635305104741 18.9604166666667 0.425943582737939 19.4333333333333 0.484590548351395 17.9166666666667
2016-08-29 0.315061025013967 16.6770833333333 0.432480430629853 17.1208333333333 0.369206462828632 17.0958333333333 0.467845124654078 17.2895833333333 0.484878600302317 17.11875
2016-08-30 0.364077234659168 16.6541666666667 0.434728654944414 16.5875 0.410745503014921 16.8916666666667 0.5153614614798 17.1 0.497006840425917 16.5916666666667
2016-08-31 0.348780186014948 17.6604166666667 0.431721104577844 16.4625 0.395772285752386 16.93125 0.486283600037377 17.425 0.494531343180652 16.4229166666667
2016-09-01 0.353772437673499 16.0395833333333 0.434551259605659 16.29375 0.404667728857535 16.5479166666667 0.500781912927387 16.7458333333333 0.496904844041115 16.3541666666667
2016-09-02 0.352084136672561 15.5875 0.433442352264134 15.74375 0.40239874645048 15.7875 0.498493584444079 16.0770833333333 0.497945476031975 15.8458333333333
2016-09-03 0.340440653468831 17.0875 0.431472511114873 15.81875 0.392497501133361 16.3416666666667 0.479206530359703 16.9166666666667 0.493959442540707 15.8291666666667
2016-09-04 0.326351896006696 16.1875 0.428807248590663 15.88125 0.382189801504661 16.0270833333333 0.460464842686244 16.3291666666667 0.488780172853038 15.9666666666667
2016-09-05 0.381221778319652 13.8020833333333 0.435488806303836 14.9 0.429452003144688 14.5145833333333 0.556253091458598 14.7520833333333 0.528314867577148 15.1895833333333
2016-09-06 0.454316694755074 13.0645833333333 0.487690310197271 13.8083333333333 0.461288016070399 13.5375 0.603997038420571 13.6895833333333 0.580008890494497 14.05
2016-09-07 0.404119812297739 14.4208333333333 0.47533495189731 13.8354166666667 0.421743861251428 13.9270833333333 0.543824709142441 14.56875 0.553054176185338 14.0125
2016-09-08 0.37902128388251 14.8125 0.463408053990248 14.2958333333333 0.411076931841235 14.5916666666667 0.517301903934515 15.1020833333333 0.535377708459195 14.4416666666667
2016-09-09 0.363280721731134 15.15625 0.454900566787259 14.8479166666667 0.403212802389343 15.30625 0.503704999262651 15.59375 0.524430818114812 14.93125
2016-09-10 0.353073110535877 15.1479166666667 0.449707758126424 14.7708333333333 0.397147461377176 15.15625 0.492878694234325 15.4770833333333 0.517191879484016 14.9041666666667
2016-09-11 0.343824919658723 14.6541666666667 0.44605372297168 14.8458333333333 0.391342225244812 15.1270833333333 0.482767141440404 15.3270833333333 0.511122256915344 14.9875
2016-09-12 0.331924827172766 15.6020833333333 0.439471005429089 14.8833333333333 0.385289411107761 15.4041666666667 0.473707424483674 15.8 0.504326630823444 14.9604166666667
2016-09-13 0.311856854040167 15.6604166666667 0.432574898586062 15.0729166666667 0.373845518460694 15.4166666666667 0.454877828057209 15.9020833333333 0.494604533698787 15.15
