GW_EB_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-09-07 0.34388392348034 18.239 0.6195707814054 17.125 0.329704792602613 19.313 0.351486189802154 19.741 0.519478127587785 17.715
2016-09-08 0.329292948447531 17.9451388888889 0.599289482232362 17.6263888888889 0.318554859117641 18.4826388888889 0.333164706634702 18.7604166666667 0.509201337263977 18.1680555555556
2016-09-09 0.314040610461035 18.0743055555556 0.586337443948139 18.0791666666667 0.30561665297399 18.4965277777778 0.312620207122842 18.5576388888889 0.495403645880923 18.5548611111111
2016-09-10 0.297042558427182 18.3222222222222 0.570223575433127 18.0833333333333 0.29527189039213 18.4881944444444 0.29233166612383 18.8180555555556 0.488211393979167 18.5541666666667
2016-09-11 0.290337863205688 17.4347222222222 0.545123720896003 17.9069444444444 0.292847753083582 17.5659722222222 0.281547070403836 17.7006944444444 0.487371422852898 18.3604166666667
2016-09-12 0.281699488498223 18.0541666666667 0.545441124738993 17.7048611111111 0.301427614253675 18.1875 0.271825700208284 18.1819444444444 0.481190039866231 18.1395833333333
2016-09-13 0.240403875968554 18.6388888888889 0.54000049266764 18.1875 0.29357964850643 18.9048611111111 0.233217189968857 18.7090277777778 0.464277015961822 18.6694444444444
2016-09-14 0.208973304501006 18.6513888888889 0.522306432318113 18.3409722222222 0.282212398477689 18.9625 0.202564373247783 18.7041666666667 0.45231252557597 18.8631944444444
2016-09-15 0.195531777386055 17.7444444444444 0.506887332170836 18.0270833333333 0.271736383911411 17.8506944444444 0.184586269163516 17.7645833333333 0.441474580076156 18.5229166666667
2016-09-16 0.215706607310801 16.14375 0.492099455474353 17.0166666666667 0.271455629908251 16.5395833333333 0.208566201427576 16.3958333333333 0.445598092542351 17.59375
2016-09-17 0.343894997763907 14.4451388888889 0.591671966755292 15.7506944444444 0.368319591274056 14.8138888888889 0.37517515647354 14.6444444444444 0.542926120077929 16.3430555555556
2016-09-18 0.344546212551671 14.3305555555556 0.60491132158137 15.2756944444444 0.379133277535131 14.7048611111111 0.375850060684116 14.5993055555556 0.565521947131367 15.7673611111111
2016-09-19 0.355468162972438 13.2340277777778 0.619051462505976 14.5666666666667 0.396571339374755 13.3305555555556 0.395574880637479 13.2819444444444 0.576019974665808 14.9993055555556
2016-09-20 0.342185148544517 13.0069444444444 0.613882249861567 14.1166666666667 0.383840657981823 13.2923611111111 0.3721716776892 13.2590277777778 0.554999689304544 14.5381944444444
2016-09-21 0.334852767230583 12.9465277777778 0.614363788405914 14.0104166666667 0.375573119431009 13.4451388888889 0.357575916608779 13.4 0.539034089765539 14.5194444444444
2016-09-22 0.324957429806028 13.7909722222222 0.60386047486961 14.1638888888889 0.368543981708776 13.5506944444444 0.34459352145425 13.4729166666667 0.530930579912798 14.4868055555556
2016-09-23 0.316039805416643 12.7034722222222 0.588613267675101 13.7604166666667 0.360684787298924 12.8 0.332088838105593 12.6048611111111 0.523725765716659 14.0979166666667
2016-09-24 0.302493789051608 13.7854166666667 0.575418210530013 14.0465277777778 0.354824449906665 13.6180555555556 0.320618341576375 13.3548611111111 0.513749621997576 14.325
2016-09-25 0.279867219835839 13.6944444444444 0.558616834929143 14.1138888888889 0.344335259490724 13.6138888888889 0.306989648878168 13.325 0.504306404968217 14.3604166666667
2016-09-26 0.251466531132866 13.58125 0.547905984512584 14.0986111111111 0.333125077979978 13.4833333333333 0.288814531556895 13.0715277777778 0.492431100843066 14.3868055555556
2016-09-27 0.229572368878464 12.80625 0.533856771623298 13.7375 0.323556599493937 12.9930555555556 0.275302566017206 12.5395833333333 0.485749746919118 14.0625
2016-09-28 0.217462053556674 13.2041666666667 0.521629119204435 13.5979166666667 0.316899820808676 13.2097222222222 0.2618039990424 12.8368055555556 0.480089266475664 13.8895833333333
2016-09-29 0.200001303332764 13.5340277777778 0.50827854280511 13.8652777777778 0.307654606488566 13.6680555555556 0.240251149983704 13.1055555555556 0.4698152871756 14.1722222222222
2016-09-30 0.187641052227499 13.6423611111111 0.491142986421064 13.95625 0.297000940340473 13.7215277777778 0.222478098529927 13.2083333333333 0.462676842281024 14.2409722222222
2016-10-01 0.179442436876403 13.4048611111111 0.482234606479284 13.8354166666667 0.286697967533436 13.9388888888889 0.208801589776009 13.7027777777778 0.454160822966394 14.2979166666667
2016-10-02 0.285314111537804 13.1375 0.498230011622459 14.0222222222222 0.318245543245175 13.4409722222222 0.315057016439117 13.2604166666667 0.486133109593777 14.4722222222222
2016-10-03 0.324288333750737 10.9027777777778 0.584099836150851 12.5333333333333 0.354713769711802 11.0222222222222 0.350956586936715 10.7944444444444 0.508603084114411 12.9423611111111
2016-10-04 0.335859563145511 10.9506944444444 0.59722892882928 12.0451388888889 0.369952466389388 11.0951388888889 0.365027141589943 11.1583333333333 0.550431891875279 12.5333333333333
2016-10-05 0.326110951832277 9.46875 0.600487198632974 11.4340277777778 0.363122541957385 9.30347222222222 0.350901726417741 9.23263888888889 0.53943196244373 11.8986111111111
2016-10-06 0.319433996856435 8.12916666666667 0.596468760418751 9.87083333333333 0.356523068167072 7.87777777777778 0.339497588941746 7.86319444444444 0.529076017293216 10.2826388888889
2016-10-07 0.312102895494407 9.27777777777778 0.586674945575654 10.2972222222222 0.352306353365446 9.44097222222222 0.332247628556487 9.53958333333333 0.52476182141972 10.8083333333333
2016-10-08 0.343652710168066 9.21180555555556 0.595445986122946 10.4 0.368391563384831 9.03333333333333 0.362675399790915 9.12361111111111 0.55588008547855 10.8277777777778
