FE_GW_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-11 0.443947288036635 16.0844444444444 0.458133688081345 17.3644444444444 0.432510959815608 15.8622222222222 0.390874168148258 16.7044444444444 0.497324526848376 17.5955555555556
2016-08-12 0.442831814417064 16.6548611111111 0.461358533672465 16.7152777777778 0.437034863337861 16.1055555555556 0.392675811753114 16.3166666666667 0.499470378890357 16.6076388888889
2016-08-13 0.434223467110497 18.4409722222222 0.455366307145188 17.7895833333333 0.422830521867753 18.2152777777778 0.387435239715051 19.0201388888889 0.491914337614869 17.5638888888889
2016-08-14 0.422550728501856 19.8840277777778 0.445994918950251 19.0375 0.404241014699181 19.6680555555556 0.377866825892554 20.6020833333333 0.481709614819773 18.9666666666667
2016-08-15 0.41225328502079 20.2840277777778 0.434255444599982 19.7152777777778 0.384425115395179 19.9583333333333 0.37152846821392 21.0916666666667 0.473815594726787 19.7673611111111
2016-08-16 0.41050385051871 20.5111111111111 0.432593385586235 19.95 0.378895533000204 20.3256944444444 0.3721109553317 21.2298611111111 0.470699380598318 19.9875
2016-08-17 0.430853933933072 20.3888888888889 0.451340511732222 20.0840277777778 0.407057719288103 20.0472222222222 0.400848084709963 20.6590277777778 0.496446151383211 19.9965277777778
2016-08-18 0.422480969952742 20.0486111111111 0.444033228516556 19.9770833333333 0.386711439844891 19.7944444444444 0.393162664053211 19.8513888888889 0.485436403406739 19.6215277777778
2016-08-19 0.422429521942064 19.9993055555556 0.442238840955638 19.6743055555556 0.379150873378144 19.5256944444444 0.389427988214113 20.1479166666667 0.480834684981 19.35625
2016-08-20 0.420496488670272 20.2013888888889 0.438851819530468 19.9243055555556 0.372925119296635 19.8638888888889 0.389386376058609 20.0715277777778 0.474641856521399 19.5402777777778
2016-08-21 0.457834119110209 18.7208333333333 0.465122702993961 19.10625 0.432157134605559 18.2680555555556 0.41675581549636 18.3013888888889 0.497310687869432 18.7229166666667
2016-08-22 0.437812476146675 17.6173611111111 0.449505198771873 18.2506944444444 0.4090974164306 17.3951388888889 0.396272243747988 17.8208333333333 0.487741111778596 18.1020833333333
2016-08-23 0.428712724334611 17.4034722222222 0.441663240793635 17.7479166666667 0.383207773301886 17.2111111111111 0.387031680130181 18.1361111111111 0.477405852772651 17.9159722222222
2016-08-24 0.42099090413919 18.1298611111111 0.436024760667622 18.16875 0.370720763542119 17.93125 0.378733658920844 18.8444444444444 0.469158620362831 18.3826388888889
2016-08-25 0.411837375758503 18.3472222222222 0.429626877042639 18.3298611111111 0.358614726027326 18.1402777777778 0.371863785524951 18.9791666666667 0.464187514365418 18.5395833333333
2016-08-26 0.403411854454483 19.5166666666667 0.423824154304378 19.0034722222222 0.351175266839085 19.4145833333333 0.364661008774644 20.0229166666667 0.455502786784869 19.0666666666667
2016-08-27 0.393118251523271 20.1263888888889 0.417611445932819 19.6270833333333 0.34496421463654 19.9875 0.356028405131677 20.61875 0.444380603351196 19.6256944444444
2016-08-28 0.385373950802226 20.6027777777778 0.412369423628562 20.0458333333333 0.340172649023283 20.5819444444444 0.353851144792507 21.0090277777778 0.436608340684772 20.0118055555556
2016-08-29 0.411686660925517 19.8770833333333 0.428138138896081 19.9479166666667 0.357488842017701 19.6597222222222 0.383938552240901 19.6555555555556 0.463484589737727 19.6284722222222
2016-08-30 0.444538623126928 19.4333333333333 0.435644450619143 19.55 0.357135462351441 19.2645833333333 0.386464001845324 19.55 0.472158335944409 19.29375
2016-08-31 0.430303600772012 19.9055555555556 0.430457946790487 19.5965277777778 0.351749766509958 19.2034722222222 0.379354749090739 19.8611111111111 0.462384978544713 19.2368055555556
2016-09-01 0.48428006219205 20.8076388888889 0.46296460239449 20.4166666666667 0.407610305153722 20.3423611111111 0.420323209663756 20.5875 0.482299478825604 19.8388888888889
2016-09-02 0.479686343833077 20.9965277777778 0.458818921889521 20.8138888888889 0.409610378438898 20.5520833333333 0.404986943813693 20.525 0.479768993545329 19.9520833333333
2016-09-03 0.460005246117499 20.8729166666667 0.447995317513709 20.6027777777778 0.39241210956923 20.2284722222222 0.393094023941058 20.3361111111111 0.470950659015245 19.8708333333333
2016-09-04 0.452962143958479 19.8590277777778 0.444560606306491 20.0361111111111 0.386388478227976 19.1923611111111 0.393796623511256 19.2784722222222 0.465858901969244 19.4347222222222
2016-09-05 0.481729417517696 17.85625 0.467568401904979 18.7520833333333 0.437731273616178 17.5458333333333 0.436114779984284 17.5055555555556 0.487106071345733 18.3590277777778
2016-09-06 0.470193723180701 18.2486111111111 0.454360681317284 18.3923611111111 0.424447162050421 18.2756944444444 0.421759310952905 18.0701388888889 0.483587637675353 18.0076388888889
2016-09-07 0.4589357591263 18.325 0.447140820065716 18.4666666666667 0.405297193012491 18.3701388888889 0.407993991290115 17.9972222222222 0.473524494200559 18.0819444444444
2016-09-08 0.452489226413774 18.8756944444444 0.442454620469252 18.7451388888889 0.367415604781543 18.9805555555556 0.397456966271635 18.5395833333333 0.466922498287651 18.3368055555556
2016-09-09 0.444843002443611 20.0284722222222 0.437199514046657 19.5402777777778 0.348411201726044 19.9208333333333 0.390335934629575 19.83125 0.461854013279202 19.125
2016-09-10 0.435127493543645 19.6486111111111 0.433368019719584 19.4472222222222 0.346376582880025 19.4673611111111 0.383425807756474 19.5423611111111 0.454994656097151 19.1423611111111
2016-09-11 0.42749858430026 19.7791666666667 0.429941431881151 19.5895833333333 0.344863557297723 19.6166666666667 0.378921580853652 19.6458333333333 0.449479752947471 19.3083333333333
