FE_GW_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-11 0.448794009268583 16.4688888888889 0.496306461707215 17.7266666666667 0.507856795838416 17.2955555555556 0.470851604714707 17.4777777777778 0.530325548931743 18.06
2016-08-12 0.448748546550683 16.9055555555556 0.494744560265176 16.9638888888889 0.510504574360143 16.7763888888889 0.47272092414028 16.6826388888889 0.524840508069186 17.1361111111111
2016-08-13 0.426732482110818 18.7152777777778 0.483734827989587 17.8701388888889 0.490469963133816 18.8479166666667 0.464360113156396 19.4444444444444 0.504540305987043 18.0375
2016-08-14 0.401712432945444 20.1798611111111 0.482134225776386 19.1590277777778 0.461297360365998 20.2347222222222 0.452166176981317 21.0083333333333 0.490255936987981 19.475
2016-08-15 0.378616719815671 20.3590277777778 0.477183343628888 19.8145833333333 0.440305713731285 20.6618055555556 0.439754943413239 21.6493055555556 0.479599955625552 20.3104166666667
2016-08-16 0.366346712946481 20.6493055555556 0.469922878559267 20.0145833333333 0.431784650619991 20.8708333333333 0.432493829511311 21.7145833333333 0.47171681407534 20.5555555555556
2016-08-17 0.412665996711147 20.4284722222222 0.482514080476995 20.0625 0.471665508626714 20.6180555555556 0.472321710277203 20.9868055555556 0.505010204782049 20.5527777777778
2016-08-18 0.393801708018815 20.30625 0.474953284269116 19.9618055555556 0.449641847535963 20.1097222222222 0.461721482139097 20.2416666666667 0.488036443435693 20.2020833333333
2016-08-19 0.388422990708242 19.9930555555556 0.471193926329279 19.5791666666667 0.44398171555721 20.1256944444444 0.456568498272811 20.4631944444444 0.483850202551646 19.8638888888889
2016-08-20 0.3781007700254 20.3 0.467959157726573 19.7993055555556 0.433756040599013 20.2145833333333 0.452139917809953 20.3902777777778 0.477175147444643 20.09375
2016-08-21 0.444766258195792 18.7666666666667 0.527603774001932 19.0541666666667 0.514303341455125 18.8979166666667 0.486456165195145 18.8284722222222 0.51841230646906 19.2756944444444
2016-08-22 0.426984832480921 17.8173611111111 0.506184280526208 18.2923611111111 0.520682602302074 18.08125 0.471782072179553 18.3944444444444 0.50655351328198 18.6645833333333
2016-08-23 0.404302436075464 17.6861111111111 0.488146775541183 17.8319444444444 0.493199690034329 18.0201388888889 0.456324965032439 18.8486111111111 0.486364331944086 18.5479166666667
2016-08-24 0.38056517268996 18.4493055555556 0.477549847347198 18.2583333333333 0.462875200649412 18.7236111111111 0.440426547892214 19.6465277777778 0.478084336305228 19.1131944444444
2016-08-25 0.36090835709403 18.6659722222222 0.469594258647427 18.4104166666667 0.427491287795285 18.9243055555556 0.424979741893102 19.8805555555556 0.451254728688863 19.33125
2016-08-26 0.345264774751914 19.8805555555556 0.462910132669786 19.0069444444444 0.399989569206493 19.9361111111111 0.407419674641618 20.8354166666667 0.436802037150092 19.8458333333333
2016-08-27 0.325577190149574 20.4930555555556 0.45585517374015 19.6152777777778 0.376484167443012 20.5736111111111 0.385388944639448 21.5305555555556 0.445573795981315 20.4513888888889
2016-08-28 0.315284055746044 21.0138888888889 0.450666248891125 20.0590277777778 0.353307607377281 21.0166666666667 0.371173881451141 21.7027777777778 0.436130857548805 20.7673611111111
2016-08-29 0.361558576702058 19.9618055555556 0.448266899921284 19.86875 0.40488521614241 20.0840277777778 0.417385287601502 20.1118055555556 0.449734846527329 20.2944444444444
2016-08-30 0.380922470992219 19.7125 0.452963417425611 19.5416666666667 0.430624043014107 19.8777777777778 0.435065373538525 20.2388888888889 0.469530681192459 19.9395833333333
2016-08-31 0.356370484622252 19.4041666666667 0.447786341485607 19.3458333333333 0.404476906660916 19.9736111111111 0.413860666214319 20.4993055555556 0.460729763895974 19.8395833333333
2016-09-01 0.404886327752548 20.5791666666667 0.512461019611681 20.0736111111111 0.476680186447173 20.7444444444444 0.45528264646074 21.0048611111111 0.485786561276309 20.3041666666667
2016-09-02 0.406201234894551 20.6166666666667 0.520621770843515 20.2951388888889 0.47952644885771 20.9215277777778 0.457777509540171 21.0243055555556 0.490077218137502 20.3208333333333
2016-09-03 0.386203013728365 20.68125 0.497834268750003 20.2493055555556 0.453271543874267 20.6347222222222 0.441651205433714 20.5875 0.488948462083038 20.2423611111111
2016-09-04 0.376998981457739 19.7006944444444 0.487889922804882 19.7583333333333 0.439088678655258 19.68125 0.433430673640522 19.6131944444444 0.493970076822727 19.8729166666667
2016-09-05 0.411805434921508 17.9215277777778 0.526159978014744 18.6527777777778 0.502571637407236 18.14375 0.475911343472352 17.9763888888889 0.524497400406347 18.8791666666667
2016-09-06 0.399726891610943 18.4541666666667 0.514340975261151 18.3736111111111 0.489142829973608 18.6666666666667 0.4653337712794 18.6020833333333 0.529064041388165 18.4791666666667
2016-09-07 0.382071163494791 18.2930555555556 0.495282134996195 18.4402777777778 0.47053745395799 18.7888888888889 0.445876994819237 18.71875 0.514468598169397 18.575
2016-09-08 0.369086249718541 18.8458333333333 0.485057002535933 18.6645833333333 0.431963491587348 19.4916666666667 0.429308628203401 19.1180555555556 0.504017726390553 18.8104166666667
2016-09-09 0.355821770837138 20.0951388888889 0.477011179002379 19.4756944444444 0.40035895301516 20.1652777777778 0.413908030795749 20.2083333333333 0.486854034038913 19.5402777777778
2016-09-10 0.339384567752267 19.7173611111111 0.469333603148914 19.3930555555556 0.379762911632885 19.74375 0.398332961903107 19.9263888888889 0.471517764177803 19.5625
2016-09-11 0.329058509595046 19.8777777777778 0.463079949613499 19.5354166666667 0.362943087128662 19.8625 0.385211361421525 20.0333333333333 0.461766376211477 19.7333333333333
