GW_GW_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-09-07 0.3909399901783 17.4747474747475 0.457682170342529 16.3070707070707 0.296543615331254 17.350505050505 0.416920663494672 18.0787878787879 0.474222681040022 16.9121212121212
2016-09-08 0.37350766412338 17.1409722222222 0.441134104057612 16.5722222222222 0.299090999889199 16.7506944444444 0.402602451117499 17.49375 0.460038866220158 17.1652777777778
2016-09-09 0.356694775196969 17.4152777777778 0.428518778734777 17.0972222222222 0.308063969285135 17.3833333333333 0.389001330747851 17.7979166666667 0.449596878575593 17.5659722222222
2016-09-10 0.342808767287972 17.5840277777778 0.417122228305252 17.1388888888889 0.303631481416194 17.1465277777778 0.373312127909702 17.6881944444444 0.442210177096089 17.5145833333333
2016-09-11 0.331891841396715 16.9625 0.409130933562456 17.0826388888889 0.298565490343052 16.55 0.363368178680525 17.0472222222222 0.437126183563355 17.3590277777778
2016-09-12 0.327253888333877 17.3131944444444 0.400727563551299 16.8840277777778 0.292684197601312 16.7902777777778 0.356233388722602 17.3881944444444 0.431256029207086 17.2243055555556
2016-09-13 0.308875495859939 17.7277777777778 0.387844580275459 17.1756944444444 0.286120563493164 17.2784722222222 0.325482164553366 17.8256944444444 0.420835945496266 17.6194444444444
2016-09-14 0.27908855674889 17.7145833333333 0.374933376943561 17.3076388888889 0.282397753469523 17.2645833333333 0.290959368137473 17.8743055555556 0.411077409834314 17.7541666666667
2016-09-15 0.254969246750428 17.0375 0.364582891017817 17.0638888888889 0.276400055709216 16.4055555555556 0.268344668640934 16.9958333333333 0.402316667616566 17.3777777777778
2016-09-16 0.280310971117889 15.9847222222222 0.356603988319661 16.4694444444444 0.283086481648356 15.5020833333333 0.274790786764974 16.1069444444444 0.394181402689421 16.6888888888889
2016-09-17 0.432925741685128 14.5479166666667 0.485244879834612 15.5326388888889 0.409703748613435 14.2729166666667 0.410214183934918 14.74375 0.458368319708704 15.7215277777778
2016-09-18 0.422139551774144 14.3902777777778 0.478645452330546 15.0583333333333 0.421099738616711 14.2847222222222 0.417259338332633 14.6847222222222 0.474984460967632 15.3048611111111
2016-09-19 0.449612145282171 13.4201388888889 0.509042388488154 14.4263888888889 0.448912966624679 13.0298611111111 0.421205579310937 13.55 0.470896259677719 14.6444444444444
2016-09-20 0.421661516904899 13.1680555555556 0.47821276664763 13.9888888888889 0.43045806615392 12.9951388888889 0.427256954793476 13.4479166666667 0.485679055782605 14.2527777777778
2016-09-21 0.406191343314974 13.1180555555556 0.47328057405917 13.8506944444444 0.422232671549581 13.1527777777778 0.426733466945193 13.4576388888889 0.483008843823452 14.1486111111111
2016-09-22 0.389733953658065 13.6680555555556 0.455727806476534 13.8027777777778 0.414324225568431 12.6965277777778 0.415252802443922 13.3402777777778 0.468621234026095 14.0222222222222
2016-09-23 0.378353607744979 12.6465277777778 0.442732161635497 13.4354166666667 0.4057275873381 12.1743055555556 0.406511198447784 12.7388888888889 0.458323233403613 13.6590277777778
2016-09-24 0.368252981711172 13.6034722222222 0.432833993597495 13.6277777777778 0.384154495946944 12.6604166666667 0.398844531237293 13.2493055555556 0.450798888812928 13.8180555555556
2016-09-25 0.353018532643364 13.4930555555556 0.421398723748164 13.6451388888889 0.366441798587733 12.6395833333333 0.388811813415074 13.3333333333333 0.442536443890107 13.8819444444444
2016-09-26 0.339399173651527 13.4583333333333 0.408428077042784 13.6604166666667 0.356218159635812 12.3840277777778 0.373774579587389 13.0486111111111 0.433663770235714 13.8618055555556
2016-09-27 0.328695725106536 12.7916666666667 0.397449045303375 13.3805555555556 0.345414128846479 12.1951388888889 0.36320779985405 12.65 0.427484121883522 13.5402777777778
2016-09-28 0.322149321056304 13.1520833333333 0.388235609124361 13.2736111111111 0.33724945346622 12.2618055555556 0.352704206944573 12.7756944444444 0.422487973261 13.3993055555556
2016-09-29 0.31021008212242 13.4701388888889 0.377122216006324 13.4388888888889 0.325806711302186 12.4923611111111 0.33525680744365 12.95 0.41463037856975 13.5708333333333
2016-09-30 0.294333361773363 13.5270833333333 0.368300571010156 13.5118055555556 0.313227757194165 12.5916666666667 0.315071332736754 13.0229166666667 0.406866611463842 13.6256944444444
2016-10-01 0.284238835561816 13.3208333333333 0.362086701897379 13.45625 0.302529361592159 13.2034722222222 0.299601224960453 13.3979166666667 0.400069152601956 13.6472222222222
2016-10-02 0.364241314896638 13.1013888888889 0.353642082279844 13.6673611111111 0.367042880503169 12.8881944444444 0.366470516759476 13.1861111111111 0.41079797506439 13.8166666666667
2016-10-03 0.392396235287194 11.2138888888889 0.398642467866855 12.4840277777778 0.393328512557658 10.3875 0.419923184146081 11.0555555555556 0.467444373101162 12.4694444444444
2016-10-04 0.408835712229819 11.0243055555556 0.446526872331531 12.0131944444444 0.40966993970291 10.8597222222222 0.430640462378113 11.2277777777778 0.490581226843806 12.1006944444444
2016-10-05 0.39671684722777 9.68819444444444 0.455507261563967 11.4013888888889 0.401889995906203 9.16805555555556 0.429622020976321 9.72222222222222 0.487485923324722 11.51875
2016-10-06 0.381612840958632 8.43055555555556 0.441866082790377 9.97847222222222 0.384858433135311 7.39236111111111 0.421563504957744 8.22152777777778 0.472679516172002 10.03125
2016-10-07 0.373174670187422 9.31805555555555 0.432353843866789 10.2375 0.375067520704724 9.23680555555556 0.415936609899704 9.67777777777778 0.46277443139554 10.5
2016-10-08 0.393408235343786 9.14861111111111 0.423977746388582 10.2666666666667 0.393969005297317 8.91875 0.419490837291744 9.34444444444444 0.469816367166534 10.5215277777778
