GW_GW_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-09-07 0.365449642234727 17.7656565656566 0.468548311540555 16.5969696969697 0.315010818373826 17.8171717171717 0.440592378394241 18.5808080808081 0.499992308505677 16.9929292929293
2016-09-08 0.356785741722046 17.4555555555556 0.452194628428185 16.9625 0.30214266254656 17.3048611111111 0.421745109538616 17.8833333333333 0.489382572064836 17.2319444444444
2016-09-09 0.351868661409222 17.6395833333333 0.436741300001404 17.4611111111111 0.286562962734442 17.65625 0.404971490014916 18.05625 0.478049927537449 17.6159722222222
2016-09-10 0.350846713851918 17.8868055555556 0.42533185675993 17.4895833333333 0.269766780951885 17.54375 0.39155207309087 17.975 0.463857358978643 17.5395833333333
2016-09-11 0.347489131804546 17.09375 0.419326147519882 17.3402777777778 0.263082432342026 16.7715277777778 0.388949542730254 17.3763888888889 0.48476691581332 17.3583333333333
2016-09-12 0.342018840207039 17.4722222222222 0.408943587485999 17.1180555555556 0.262534749562908 17.1256944444444 0.385136493410368 17.5916666666667 0.481844489168334 17.2284722222222
2016-09-13 0.318560862970731 17.9854166666667 0.391899005240752 17.5638888888889 0.238965710788487 17.5965277777778 0.360351831415259 18.1020833333333 0.47297314942571 17.6784722222222
2016-09-14 0.283588274154925 18.0458333333333 0.377168953929057 17.7416666666667 0.218936808650933 17.5958333333333 0.330921099812027 18.0493055555556 0.461878327710153 17.7666666666667
2016-09-15 0.256492377570746 17.4430555555556 0.364301832471651 17.4763888888889 0.206559813656681 16.8173611111111 0.307808759323084 17.3048611111111 0.450283975355825 17.3479166666667
2016-09-16 0.256740499253167 16.0451388888889 0.359017984830002 16.6506944444444 0.224502574125389 15.7986111111111 0.330389701846849 16.1520833333333 0.436122502022071 16.5625
2016-09-17 0.366200016166616 14.4715277777778 0.46821672894877 15.5770833333333 0.333753854081564 14.3118055555556 0.464487860845705 14.83125 0.481336879368217 15.5652777777778
2016-09-18 0.36745948418119 14.2659722222222 0.489657395974542 15.06875 0.332745370933721 14.2965277777778 0.466150212424157 14.7923611111111 0.477456832949124 15.1694444444444
2016-09-19 0.375018438870113 13.2416666666667 0.50679739639328 14.3993055555556 0.336777781195018 13.0597222222222 0.489601432087537 13.6618055555556 0.511301918359084 14.4701388888889
2016-09-20 0.364370888914546 12.9715277777778 0.481991316661022 13.9111111111111 0.328067580437426 13.0131944444444 0.455171727210763 13.5743055555556 0.486273122836558 14.0722222222222
2016-09-21 0.358202186506871 12.9458333333333 0.469062538021357 13.8173611111111 0.320284737078124 13.0236111111111 0.435234652437083 13.6770833333333 0.492918456124394 14.0506944444444
2016-09-22 0.35362205915091 13.8576388888889 0.456901364194074 13.94375 0.311314531700296 12.7451388888889 0.427119425570193 13.6381944444444 0.491904335681938 14.0090277777778
2016-09-23 0.3492839717092 12.6479166666667 0.445211380486183 13.5125 0.303045946778954 12.2201388888889 0.417043008536014 12.9243055555556 0.486124522975677 13.5659722222222
2016-09-24 0.348283780629684 13.9097222222222 0.433403466907064 13.8729166666667 0.293068774143654 12.6416666666667 0.40686082797226 13.5166666666667 0.484630865096192 13.8034722222222
2016-09-25 0.345193887909864 13.9520833333333 0.420342947192948 13.9833333333333 0.27701042540332 12.7743055555556 0.388290671691039 13.4298611111111 0.478554449856227 13.7798611111111
2016-09-26 0.335767117835876 13.84375 0.405866845442389 14.0402777777778 0.258157440022941 12.4472222222222 0.372697152723115 13.2131944444444 0.476931856495074 13.7625
2016-09-27 0.321657057567108 13.0993055555556 0.394140506219779 13.6673611111111 0.245680539599951 12.2041666666667 0.360594250741379 12.7159722222222 0.469637352032294 13.3590277777778
2016-09-28 0.304990659953274 13.71875 0.384991677406626 13.6430555555556 0.237385955916358 12.2944444444444 0.350859796631059 12.9013888888889 0.462505326318218 13.2465277777778
2016-09-29 0.28018438265185 14.1583333333333 0.371849292964083 13.9361111111111 0.225282875505923 12.5388888888889 0.335082117175556 13.1375 0.456709861064508 13.4805555555556
2016-09-30 0.257901288169811 14.25 0.359514656151483 14.0472222222222 0.214349761612728 12.6118055555556 0.317401607579092 13.1548611111111 0.448503340404243 13.5097222222222
2016-10-01 0.245471390571391 13.6638888888889 0.34893741968276 13.875 0.207857651385759 13.2152777777778 0.303125288772646 13.5958333333333 0.444452561027742 13.54375
2016-10-02 0.305873951971059 13.1381944444444 0.35031079390268 13.9298611111111 0.293931027196959 12.8298611111111 0.415816493324882 13.3798611111111 0.42649497310761 13.7361111111111
2016-10-03 0.349645383098256 11.0493055555556 0.350824119159452 12.4618055555556 0.319711779660944 10.5152777777778 0.446752664867249 11.2104166666667 0.466922604850663 12.275
2016-10-04 0.353045433644585 10.9284722222222 0.405260941911788 11.9666666666667 0.324077482947298 10.7770833333333 0.45689236878549 11.3805555555556 0.475382555557925 11.9631944444444
2016-10-05 0.349288682964467 9.30416666666667 0.425899710610443 11.2041666666667 0.31626028456171 8.76180555555556 0.437009283649774 9.74791666666667 0.494662380274135 11.3291666666667
2016-10-06 0.346209197342903 8.30625 0.418432763767888 9.77152777777778 0.311787529095462 7.50625 0.427445432705952 8.33541666666667 0.502391184358701 9.79305555555556
2016-10-07 0.345357867354269 9.23194444444444 0.412495674251476 10.1993055555556 0.307924204451181 9.19583333333333 0.419033441728026 9.81597222222222 0.496227371821093 10.3763888888889
2016-10-08 0.351763411063799 9.00069444444444 0.431626394795879 10.2194444444444 0.324247329500581 8.7625 0.449547497116425 9.49375 0.476263465580015 10.3902777777778
