GW_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2000-01-01 0.376482773937009 3.1 0.424598029375949 2.1 0.382243761323065 3.2 1.23383567615182 NA 0.402566261777768 3
2000-01-02 0.370334629096566 3.21458333333333 0.421938591861695 2.83125 0.370380220824514 3.59166666666667 -0.13962932518602 NA 0.395927262012462 3.75416666666667
2000-01-03 0.389551240123727 3.68125 0.446281079547116 3.69791666666667 0.401618103765627 4.05416666666667 -0.13962932518602 NA 0.414625538049836 4.46041666666667
2000-01-04 0.397001915027651 2.07708333333333 0.458209580521126 2.99166666666667 0.407074068856818 2.64375 -0.13962932518602 NA 0.426339129353892 3.62916666666667
2000-01-05 0.402081830807228 2.66875 0.464081884586622 2.94375 0.414620302513016 3.05833333333333 -0.13962932518602 NA 0.429248479892601 3.64166666666667
2000-01-06 0.409140479509008 2.16041666666667 0.470432177971423 2.88333333333333 0.421664325624224 2.6 -0.13962932518602 NA 0.433586500453094 3.4875
2000-01-07 0.419984401796096 2.51666666666667 0.469203518122755 2.71458333333333 0.430733819221707 2.84791666666667 -0.13962932518602 NA 0.436038787290281 3.36041666666667
2000-01-08 0.411729355205571 1.97916666666667 0.470041017455225 2.85833333333333 0.421290652626641 2.43541666666667 -0.13962932518602 NA 0.429461977378468 3.40833333333333
2000-01-09 0.382011807856068 0.81875 0.441813739946809 1.8875 0.389272729950184 1.34166666666667 -0.13962932518602 NA 0.408261342378938 2.375
2000-01-10 0.404991523658433 1.15625 0.469667891391633 1.82916666666667 0.425147621355868 1.58958333333333 -0.13962932518602 NA 0.430835136076619 2.39166666666667
2000-01-11 0.378439311348878 0.841666666666667 0.431543725748607 1.76041666666667 0.381146469420859 1.22083333333333 -0.13962932518602 NA 0.404336327128584 2.31875
2000-01-12 0.342587468082745 0.38125 0.408567033886124 1.36041666666667 0.313128872819817 0.629166666666667 -0.13962932518602 NA 0.385881810711963 1.72916666666667
2000-01-13 0.303148290786416 0.1875 0.3970525317071 1.15625 0.231239017419051 0.5125 -0.13962932518602 NA 0.374801640240838 1.5375
2000-01-14 NA 0.0104166666666667 0.388345095631843 1.04583333333333 0.202777218805433 0.36875 -0.13962932518602 NA 0.364643074104481 1.42291666666667
2000-01-15 NA -0.375 0.366159681786575 0.889583333333333 0.178816378275006 0.110416666666667 -0.13962932518602 NA 0.345318330811218 1.26875
2000-01-16 NA -0.660416666666667 0.344623512886227 0.739583333333333 NA -0.075 -0.13962932518602 NA 0.31274808942924 1.13541666666667
2000-01-17 NA -0.0833333333333333 0.336278178897415 0.6 0.193486026331049 0.1875 -0.13962932518602 NA 0.301626510065617 1.03958333333333
2000-01-18 NA 0.2 0.332487607676557 0.6875 0.217604070714913 0.4 -0.13962932518602 NA 0.378904853147057 1.03333333333333
2000-01-19 NA -0.102083333333333 0.332082901313802 0.7 0.220518182715844 0.316666666666667 -0.13962932518602 NA 0.366774084183448 1.1
2000-01-20 NA -0.710416666666667 0.321875437592411 0.633333333333333 NA -0.0770833333333333 -0.13962932518602 NA 0.329493533666005 1.05
2000-01-21 NA -0.660416666666667 0.2978574212102 0.527083333333333 0.18265236540996 -1.11723645742842e-18 -0.13962932518602 NA 0.295067548896986 0.977083333333333
2000-01-22 NA -0.25625 0.265044022269347 0.4 0.178192299489818 0.15625 -0.13962932518602 NA 0.281915266846817 0.9
2000-01-23 NA -0.652083333333333 0.24933403595016 0.370833333333333 0.175630702127167 -0.0645833333333333 -0.13962932518602 NA 0.274991249867858 0.847916666666667
2000-01-24 NA -0.04375 0.22757197964855 0.3 0.180018554888139 0.189583333333333 -0.13962932518602 NA 0.240415500727779 0.8
2000-01-25 NA -0.595833333333333 0.232706496966051 0.36875 0.186057780589524 -0.08125 -0.13962932518602 NA 0.247670974951434 0.8
2000-01-26 NA -1.71875 0.219659704661287 0.177083333333333 NA -0.835416666666667 -0.13962932518602 NA 0.182416064434105 0.589583333333333
2000-01-27 NA -1.86041666666667 NA -0.102083333333333 NA -1 -0.13962932518602 NA 0.162532079922729 0.245833333333333
2000-01-28 NA -1.90697674418605 NA -0.353488372093023 NA -1.12093023255814 -0.13962932518602 NA NA 0.00465116279069767
2016-09-07 0.292885382066731 20.022 0.433069738105054 17.452 0.402769619964253 18.347 0.365814208601896 17.782 0.303354528600992 17.415
2016-09-08 0.276375313447995 19.3125 0.422614090165758 18.0027777777778 0.382737279731222 18.0805555555556 0.347108225005478 17.2944444444444 0.294866022628917 17.7291666666667
2016-09-09 0.256246072127042 18.8631944444444 0.404341873291958 18.3840277777778 0.364059829327197 18.24375 0.328109542708216 17.8541666666667 0.287212745709862 18.2993055555556
2016-09-10 0.239216287257502 19.5659722222222 0.394850270502382 18.5013888888889 0.349338180962954 18.4215277777778 0.308160092634242 17.5263888888889 0.279790583210428 18.1756944444444
2016-09-11 0.226149103260983 17.9236111111111 0.391927380175604 18.1527777777778 0.341260780526022 17.7465277777778 0.294284717471316 17.0229166666667 0.273688206342118 17.99375
2016-09-12 0.216857960205798 19.5694444444444 0.381677853527129 18.1583333333333 0.335705405722257 17.9166666666667 0.283126833043252 16.8013888888889 0.269306915053351 17.6555555555556
2016-09-13 0.193197572362085 20.5319444444444 0.361639964117802 18.9277777777778 0.315017717636271 18.5486111111111 0.25774599360229 17.2243055555556 0.262031202338051 18.1215277777778
2016-09-14 0.172168032937279 20.6409722222222 0.350206509055448 19.19375 0.287505810088754 18.6611111111111 0.236456660806167 17.1826388888889 0.254372200597554 18.2576388888889
