FE_EB_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-11 0.499470716509505 15.8695652173913 0.600313770565739 17.1978260869565 0.575665514567337 15.4717391304348 0.443721272892044 17.2239130434783 0.471310457704666 18.0369565217391
2016-08-12 0.501142916283545 15.9423611111111 0.602999119136511 16.4847222222222 0.587140090184934 15.6361111111111 0.449808275908294 15.9736111111111 0.472041594868062 16.7423611111111
2016-08-13 0.474396666967003 18.8763888888889 0.591114341750712 17.5368055555556 0.54223208801264 18.5402777777778 0.434379085464636 20.5909722222222 0.463403465785574 18.2368055555556
2016-08-14 0.45272884175907 20.4583333333333 0.574066218436697 19.1069444444444 0.483175319844991 20.4034722222222 0.400544408834682 22.2986111111111 0.450868067469105 19.9916666666667
2016-08-15 0.430313340056914 20.5680555555556 0.561583463278456 19.8840277777778 0.434641450180313 20.7055555555556 0.361943775240075 22.8465277777778 0.439502139082414 20.8430555555556
2016-08-16 0.418238950852546 21.2493055555556 0.552579218544639 20.24375 0.405480699760405 21.4166666666667 0.32861150233928 23.3020833333333 0.433856650234819 21.1916666666667
2016-08-17 0.460048209427797 20.4958333333333 0.574034026718701 20.2645833333333 0.467888566622954 20.5034722222222 0.373133561851305 21.7194444444444 0.449148912742313 20.9104166666667
2016-08-18 0.445105200538114 20.0409722222222 0.568861140463397 20.0145833333333 0.435309423981046 19.775 0.341276883109881 20.3041666666667 0.438704094012588 20.3541666666667
2016-08-19 0.447785445736094 19.8472222222222 0.566790344007743 19.4930555555556 0.424304328618143 19.7597222222222 0.319971256745495 21.2958333333333 0.432271495727296 20.0104166666667
2016-08-20 0.436867898119884 20.2868055555556 0.559778124646966 19.9111111111111 0.406396855569521 20.2201388888889 0.307830452592828 20.9486111111111 0.426542103061729 20.3277777777778
2016-08-21 0.508560442563313 18.0972222222222 0.597585853123211 18.9270833333333 0.541364197746203 17.7729166666667 0.428667761009757 18.5326388888889 0.4513120752203 19.1527777777778
2016-08-22 0.484679770315746 17.9805555555556 0.588115772015876 18.3118055555556 0.506118404679365 17.7972222222222 0.40350386580421 18.5993055555556 0.447562044306593 18.5236111111111
2016-08-23 0.462959860017682 18.4104166666667 0.579607363733486 18.2347222222222 0.461235967643554 18.3006944444444 0.359618764334015 19.8222222222222 0.439231081975763 18.6319444444444
2016-08-24 0.434041053453897 19.3666666666667 0.569030477338357 18.9076388888889 0.418773765395507 19.4847222222222 0.31342119814382 20.8402777777778 0.430656706130045 19.3701388888889
2016-08-25 0.407360857624418 19.775 0.559867942998491 19.2034722222222 0.385705958821092 19.9451388888889 0.262703447228163 21.325 0.421322091246705 19.60625
2016-08-26 0.374344697692857 21.1 0.551844454750421 19.8402777777778 0.356082337987899 21.3909722222222 0.22662738384943 22.5076388888889 0.411070762215349 20.1798611111111
2016-08-27 0.34120765186402 21.6930555555556 0.542925232029201 20.4819444444444 0.322986874298283 22.1159722222222 0.203740700345035 22.6208333333333 0.400290707914278 20.7104166666667
2016-08-28 0.324536815504156 21.8659722222222 0.534809750017553 20.80625 0.309326460238646 22.0458333333333 0.192240476350852 22.5847222222222 0.391767894869321 20.9534722222222
2016-08-29 0.38172669948007 19.9680555555556 0.532315083887251 20.2673611111111 0.375386671398047 19.7673611111111 0.251432523483748 19.95 0.403857546822779 20.2229166666667
2016-08-30 0.39966287434262 20.0826388888889 0.53647495715774 19.7868055555556 0.407827022461055 20.1055555555556 0.26498351924868 20.0493055555556 0.406015200187385 19.8131944444444
2016-08-31 0.380771402014882 20.21875 0.537890532482784 19.6715277777778 0.387363024485632 19.325 0.24337186907545 21.3555555555556 0.40061838482256 19.9284722222222
2016-09-01 0.443593081230963 20.5770833333333 0.562896212401069 20.0513888888889 0.467554527924362 20.2895833333333 0.310895377193976 21.2534722222222 0.413328848392837 20.3770833333333
2016-09-02 0.438009782684468 21.0034722222222 0.596737603538989 20.1736111111111 0.479735942816451 20.2569444444444 0.327569994071726 22.0513888888889 0.425395992662195 20.5180555555556
2016-09-03 0.420354172199724 20.4819444444444 0.581573493922594 20.0506944444444 0.450727386467867 20.3416666666667 0.295731444151174 21.2111111111111 0.419677616357416 20.2951388888889
2016-09-04 0.415640700425676 19.1458333333333 0.578176627596377 19.5472222222222 0.438296684150003 19.3048611111111 0.273279865867448 19.4222222222222 0.414863431586543 19.6451388888889
2016-09-05 0.467620479677613 17.025 0.610118386599753 18.3201388888889 0.514342244862603 17.0715277777778 0.368085474852693 16.8236111111111 0.417984597840998 18.2111111111111
2016-09-06 0.444749400746166 18.2291666666667 0.607381230355804 18.0534722222222 0.509105274414302 17.9368055555556 0.367830116075211 18.5104166666667 0.422796969109037 18.0256944444444
2016-09-07 0.426826534790416 18.9673611111111 0.587762284655253 18.4944444444444 0.481244341130048 18.3041666666667 0.338127714593401 18.9930555555556 0.420322093405618 18.4555555555556
2016-09-08 0.413427973217235 19.6493055555556 0.577233644735295 18.8840277777778 0.451807865375881 19.35 0.312033163190849 20.2409722222222 0.412060406300688 18.9527777777778
2016-09-09 0.399298516450147 20.7729166666667 0.567733352346361 19.6298611111111 0.426030786646714 20.3986111111111 0.281021190432229 21.39375 0.404143604008114 19.8451388888889
2016-09-10 0.379750807467208 20.3444444444444 0.559890474898354 19.6090277777778 0.406631338367624 20.0805555555556 0.250423908043506 20.9263888888889 0.400005467170607 19.8055555555556
2016-09-11 0.362729767798422 20.3229166666667 0.552970198257594 19.7284722222222 0.387738713759079 20.2159722222222 0.226978099582114 20.9715277777778 0.39581601811549 19.9368055555556
