EB_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-12 0.439093571296725 12.8875 0.524067075496973 12.8375 0.410697871341462 12.9791666666667 0.531881010707272 12.9416666666667 0.512025617612652 12.6916666666667
2016-08-13 0.426445417419687 16.04375 0.521771948555558 14.0291666666667 0.405084872533119 15.7291666666667 0.496793949851162 16.2583333333333 0.496655938177165 13.8708333333333
2016-08-14 0.40786915381451 17.4333333333333 0.506939053826485 15.6083333333333 0.398841284494566 17.3916666666667 0.453017766133424 17.7333333333333 0.475873253398311 15.50625
2016-08-15 0.396746909095723 16.8729166666667 0.496007777815785 15.9625 0.392021054012891 17.0854166666667 0.432054624636636 17.1020833333333 0.466174839612695 15.925
2016-08-16 0.393174005841687 17.0645833333333 0.485895089080475 15.9979166666667 0.391172615896307 17.2145833333333 0.437167169772351 17.3020833333333 0.46117080463973 15.95
2016-08-17 0.457649227841585 16.55 0.501650652067325 16.1020833333333 0.409280319695594 16.9020833333333 0.528918581158541 16.7645833333333 0.473965299122971 16.0666666666667
2016-08-18 0.490757788238716 15.9354166666667 0.517477188955015 15.7145833333333 0.423685660397964 16.2645833333333 0.570623488861595 16.1416666666667 0.511308621699521 15.7125
2016-08-19 0.473337182346287 16.4125 0.52057140165284 15.7770833333333 0.410640970607627 16.6458333333333 0.537838924873403 16.6895833333333 0.497164905189264 15.7395833333333
2016-08-20 0.466525516497859 17.3583333333333 0.515028044511146 16.25 0.406495687534627 17.4270833333333 0.546080592060281 17.5395833333333 0.485584348304337 16.14375
2016-08-21 0.499314768267732 14.7395833333333 0.526770076301955 15.6583333333333 0.424056407752084 15.3375 0.621432020025873 14.9583333333333 0.514327427944835 15.6104166666667
2016-08-22 0.478140923706478 14.4854166666667 0.532158374788081 14.8145833333333 0.410506987179499 14.8458333333333 0.589568875374592 14.6333333333333 0.50025197547777 14.725
2016-08-23 0.459492732589977 15.8979166666667 0.516625513025048 14.91875 0.404403025511357 15.8 0.545321436813483 16.0333333333333 0.483879038680948 14.7854166666667
2016-08-24 0.43275007159557 17.6833333333333 0.503706744894142 16.0125 0.397039516408497 17.48125 0.486252895926185 17.7479166666667 0.471609520897403 15.8104166666667
2016-08-25 0.407562341808017 18.4520833333333 0.491251676177357 16.6875 0.389359535734854 18.2416666666667 0.427243109756411 18.55 0.461545752578191 16.5041666666667
2016-08-26 0.386535931376324 18.89375 0.484372319051714 17.1666666666667 0.380251087301338 18.7979166666667 0.38664673669368 19.0458333333333 0.453414120863165 17.0208333333333
2016-08-27 0.367916171347103 19.4479166666667 0.475122092941802 17.59375 0.370684671420528 19.3395833333333 0.350989524252669 19.6 0.444604715341001 17.4479166666667
2016-08-28 0.352018107975691 18.7354166666667 0.467214136423729 17.7229166666667 0.362241646423553 18.9375 0.323224689240853 18.8645833333333 0.435828064883101 17.6083333333333
2016-08-29 0.375225345573669 16.6979166666667 0.464964219038159 16.9541666666667 0.373788409382728 17.1833333333333 0.361921399774134 16.8854166666667 0.437701298915586 16.8770833333333
2016-08-30 0.415453572448492 16.6104166666667 0.470796757181213 16.4916666666667 0.398316238506289 16.84375 0.428316491052997 16.65625 0.444623201461672 16.3416666666667
2016-08-31 0.401575916748879 16.8270833333333 0.47750635644443 16.3416666666667 0.38975602195252 16.74375 0.39816919020835 16.8958333333333 0.443765274752567 16.1520833333333
2016-09-01 0.419329088463041 16.2291666666667 0.476783790722692 16.2708333333333 0.395870999912721 16.54375 0.414109570749813 16.26875 0.444955895944862 16.09375
2016-09-02 0.440050183779191 15.5583333333333 0.480469345868868 15.7729166666667 0.393907840100245 15.80625 0.41343394609453 15.6916666666667 0.44610398388195 15.6083333333333
2016-09-03 0.42873585788222 16.3125 0.47604833995792 15.78125 0.386866658918621 16.2354166666667 0.388166141834777 16.2854166666667 0.443851811722764 15.55625
2016-09-04 0.414194853829974 15.7958333333333 0.474528736162201 15.9270833333333 0.379824507695074 15.96875 0.362913667569151 15.8875 0.440345164067193 15.7166666666667
2016-09-05 0.487467239287866 14.075 0.498086113915577 15.1125 0.409883934936012 14.6208333333333 0.473753075231541 14.1770833333333 0.460957128402164 14.9895833333333
2016-09-06 0.53083593213195 13.2375 0.515681504475692 14.0270833333333 0.426865582721327 13.6145833333333 0.546004163976524 13.2395833333333 0.504752981522454 13.9041666666667
2016-09-07 0.48712809038559 14.0979166666667 0.516791346046232 14.0354166666667 0.40074349703701 13.9729166666667 0.473078874458821 13.9666666666667 0.481035970948736 13.8020833333333
2016-09-08 0.466551523863725 14.6583333333333 0.500878626815346 14.4708333333333 0.394283823658502 14.55625 0.434559550332643 14.5604166666667 0.46990363027206 14.1916666666667
2016-09-09 0.451519533678388 15.2083333333333 0.490246740739238 14.94375 0.39140652749355 15.2458333333333 0.410647831868238 15.11875 0.463617474853644 14.6770833333333
2016-09-10 0.436093950302135 15.0895833333333 0.486385168758493 14.9166666666667 0.387492083655566 15.05 0.393957441750792 14.9895833333333 0.460043387966074 14.6458333333333
2016-09-11 0.423977340377793 14.9270833333333 0.483505188587704 14.9979166666667 0.384381627455497 15.0291666666667 0.379704577185467 14.8229166666667 0.457235082476374 14.7375
2016-09-12 0.41261654835217 15.4645833333333 0.479032263807729 15.0083333333333 0.382508164783454 15.3791666666667 0.365166493980079 15.21875 0.455081321249662 14.6854166666667
2016-09-13 0.391186383735031 15.7354166666667 0.473469296977803 15.2833333333333 0.376727115316476 15.65625 0.341648545750064 15.2354166666667 0.448945963633168 14.85
