FE_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-08-11 0.441381836412198 15.6933333333333 0.579965062732616 17.5711111111111 0.540857344573898 16.3311111111111 0.382845903512737 15.92 0.582708905750311 17.8511111111111
2016-08-12 0.446130752515034 15.6861111111111 0.578993320739976 16.63125 0.547416716972498 15.9868055555556 0.388191020843539 15.8243055555556 0.580963339503089 16.7652777777778
2016-08-13 0.425631213554628 18.7118055555556 0.568178069981484 18.1826388888889 0.510803485940841 19.1 0.366694484772059 20.0284722222222 0.57303163505781 18.0236111111111
2016-08-14 0.39303036220568 20.4333333333333 0.552505400838217 19.8131944444444 0.451864917381075 20.8833333333333 0.313539019264392 21.6006944444444 0.557973290065461 19.4861111111111
2016-08-15 0.363750970638763 20.5909722222222 0.541025967060727 20.5694444444444 0.39838494918053 21.14375 0.256390982023564 21.9736111111111 0.544928012044751 20.3076388888889
2016-08-16 0.345866822178427 21.2534722222222 0.530110294355053 20.9881944444444 0.370467100970718 21.7243055555556 0.215162644823166 22.5263888888889 0.534729959519322 20.6430555555556
2016-08-17 0.397980576820923 20.45 0.541689369589059 20.7916666666667 0.427725687695429 20.9138888888889 0.221737571880432 20.8972222222222 0.546532871839662 20.5020833333333
2016-08-18 0.382950184210299 19.7131944444444 0.53850478309458 20.3229166666667 0.399154189179601 20.0402777777778 0.220503902392381 19.6805555555556 0.540260812486054 20.0652777777778
2016-08-19 0.380038501425626 19.8236111111111 0.535288972389527 19.9506944444444 0.386206029049579 20.2159722222222 0.225052120975779 20.5305555555556 0.533612696735145 19.7548611111111
2016-08-20 0.369476035379448 20.2368055555556 0.529676483595483 20.3840277777778 0.369099938404612 20.4666666666667 0.215892559942628 20.1958333333333 0.527776212686861 20.0027777777778
2016-08-21 0.438730635204367 17.9034722222222 0.58089897739698 19.06875 0.474974998633597 18.1409722222222 0.285122479919426 18.0097222222222 0.539284141446095 19.0145833333333
2016-08-22 0.421673561250504 17.5069444444444 0.5765945538399 18.4125 0.454537652624827 18.1548611111111 0.30825927151487 17.65625 0.550916229871177 18.3104166666667
2016-08-23 0.393992190742739 18.10625 0.557454821779025 18.5847222222222 0.413509839050903 18.775 0.274110124381522 18.6395833333333 0.544339823471111 18.2576388888889
2016-08-24 0.366619037664582 19.1555555555556 0.544075269724047 19.4340277777778 0.37388019716597 19.7284722222222 0.225721506314791 19.6347222222222 0.533349220630017 18.9326388888889
2016-08-25 0.338437894728527 19.51875 0.53373136687095 19.7625 0.344377508216944 20.1125 0.192921287346021 19.6645833333333 0.523423932179236 19.1041666666667
2016-08-26 0.303811233907335 20.8916666666667 0.522274967590151 20.5694444444444 0.318253268641091 21.43125 0.174792991235837 20.8868055555556 0.510148124030612 19.6833333333333
2016-08-27 0.2650845955064 21.4638888888889 0.507096118967064 21.2166666666667 0.289429009409571 22.0770833333333 0.157628276924468 21.3444444444444 0.48269742276084 20.2569444444444
2016-08-28 0.244453882143603 21.7465277777778 0.49213911705036 21.4888888888889 0.271606811577786 22.1131944444444 0.147391823932694 21.5194444444444 0.455286715201917 20.5708333333333
2016-08-29 0.319204033776221 19.9493055555556 0.487015323361278 20.5722222222222 0.328156313860426 20.0381944444444 0.179468282926401 19.49375 0.454727406201636 20.0722222222222
2016-08-30 0.355641827495002 19.8194444444444 0.498630303607442 20.2243055555556 0.348265992097227 20.3159722222222 0.198249306252571 19.6763888888889 0.459167002047413 19.7166666666667
2016-08-31 0.342719010151228 19.8881944444444 0.49808803256904 19.99375 0.331544828423068 19.9444444444444 0.196010442139083 19.9305555555556 0.455441580056598 19.5465277777778
2016-09-01 0.39740271846973 20.5381944444444 0.548413206522114 20.5791666666667 0.377699953063395 20.5243055555556 0.250543048987071 20.4930555555556 0.467732454847584 20.1027777777778
2016-09-02 0.392234039599666 20.9631944444444 0.569467181196605 20.8465277777778 0.377601328648917 21.0013888888889 0.270115210381416 20.55625 0.474858303420775 20.1645833333333
2016-09-03 0.375512536685687 20.6541666666667 0.551874385328746 20.6430555555556 0.362669920325656 20.4833333333333 0.245646336221898 20.0826388888889 0.477874973968671 20.05625
2016-09-04 0.366889611236379 19.4291666666667 0.540290844852944 19.98125 0.354878522353458 19.1868055555556 0.239851177397605 18.8381944444444 0.486799975281366 19.6152777777778
2016-09-05 0.410540591188264 17.1618055555556 0.577361857038459 18.5034722222222 0.400380588839326 17.0805555555556 0.33565498926051 16.7027777777778 0.476678442949198 18.4673611111111
2016-09-06 0.398390710445976 17.9979166666667 0.576348412607743 18.3972222222222 0.392410805181554 18.3222222222222 0.34816297097334 17.6305555555556 0.493356991636041 18.0798611111111
2016-09-07 0.382400733817323 18.7673611111111 0.559127754379461 18.8673611111111 0.377974103080026 19.0201388888889 0.323210281475998 17.8395833333333 0.497002959469288 18.1833333333333
2016-09-08 0.366643388779835 19.5138888888889 0.542925619513665 19.3125 0.338356528965928 19.8868055555556 0.28864175946646 20.7542857142857 0.486970610262574 19.4707142857143
2016-09-09 0.34914061447781 20.6472222222222 0.531270331944566 20.1701388888889 0.314545543673682 20.2930555555556 0.278009108668669 20.3729166666667 0.497139988453638 19.3458333333333
2016-09-10 0.325252558021448 20.2756944444444 0.519842328550424 20.0784722222222 0.301198837720848 19.8909722222222 0.249954310681958 19.9743055555556 0.491699305178143 19.2881944444444
2016-09-11 0.302483107958716 20.30625 0.510132812713174 20.2006944444444 0.290424224341452 19.9944444444444 0.227133534928407 19.9819444444444 0.485835517889652 19.4277777777778
